"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","weightloss","0","1",22,22,264,0.59,1,"ns",20.3168,1,2
"2","weightloss","0","2",22,22,308,0.1,1,"ns",22.5339111111111,1,3
"3","weightloss","0","3",22,22,242,1,1,"ns",24.7510222222222,1,4
"4","weightloss","0","4",22,22,110,0.000969,0.053295,"ns",26.9681333333333,1,5
"5","weightloss","0","5",22,22,66,1.07e-05,0.0005885,"***",29.1852444444444,1,6
"6","weightloss","0","6",22,22,110,0.000969,0.053295,"ns",31.4023555555556,1,7
"7","weightloss","0","7",22,22,264,0.59,1,"ns",33.6194666666667,1,8
"8","weightloss","0","8",22,22,286,0.275,1,"ns",35.8365777777778,1,9
"9","weightloss","0","9",22,22,352,0.006,0.33,"ns",38.0536888888889,1,10
"10","weightloss","0","10",22,22,363,0.002,0.11,"ns",40.2708,1,11
"11","weightloss","1","2",22,22,263,0.634,1,"ns",42.4879111111111,2,3
"12","weightloss","1","3",22,22,231,0.807,1,"ns",44.7050222222222,2,4
"13","weightloss","1","4",22,22,115,0.002,0.11,"ns",46.9221333333333,2,5
"14","weightloss","1","5",22,22,54,2.08e-06,0.0001144,"***",49.1392444444444,2,6
"15","weightloss","1","6",22,22,114.5,0.003,0.165,"ns",51.3563555555556,2,7
"16","weightloss","1","7",22,22,250,0.862,1,"ns",53.5734666666667,2,8
"17","weightloss","1","8",22,22,290,0.268,1,"ns",55.7905777777778,2,9
"18","weightloss","1","9",22,22,319,0.072,1,"ns",58.0076888888889,2,10
"19","weightloss","1","10",22,22,320,0.069,1,"ns",60.2248,2,11
"20","weightloss","2","3",22,22,222,0.65,1,"ns",62.4419111111111,3,4
"21","weightloss","2","4",22,22,121,0.004,0.22,"ns",64.6590222222222,3,5
"22","weightloss","2","5",22,22,62,6.81e-06,0.00037455,"***",66.8761333333333,3,6
"23","weightloss","2","6",22,22,131,0.009,0.495,"ns",69.0932444444445,3,7
"24","weightloss","2","7",22,22,243,0.991,1,"ns",71.3103555555556,3,8
"25","weightloss","2","8",22,22,290,0.268,1,"ns",73.5274666666667,3,9
"26","weightloss","2","9",22,22,299,0.187,1,"ns",75.7445777777778,3,10
"27","weightloss","2","10",22,22,297.5,0.197,1,"ns",77.9616888888889,3,11
"28","weightloss","3","4",22,22,149,0.029,1,"ns",80.1788,4,5
"29","weightloss","3","5",22,22,77,4.89e-05,0.0026895,"**",82.3959111111111,4,6
"30","weightloss","3","6",22,22,148,0.027,1,"ns",84.6130222222222,4,7
"31","weightloss","3","7",22,22,250,0.862,1,"ns",86.8301333333333,4,8
"32","weightloss","3","8",22,22,294,0.229,1,"ns",89.0472444444444,4,9
"33","weightloss","3","9",22,22,318,0.076,1,"ns",91.2643555555556,4,10
"34","weightloss","3","10",22,22,303,0.157,1,"ns",93.4814666666667,4,11
"35","weightloss","4","5",22,22,127,0.006,0.33,"ns",95.6985777777778,5,6
"36","weightloss","4","6",22,22,212,0.492,1,"ns",97.9156888888889,5,7
"37","weightloss","4","7",22,22,321,0.065,1,"ns",100.1328,5,8
"38","weightloss","4","8",22,22,364,0.004,0.22,"ns",102.349911111111,5,9
"39","weightloss","4","9",22,22,390,0.00033,0.01815,"*",104.567022222222,5,10
"40","weightloss","4","10",22,22,384,0.000605,0.033275,"*",106.784133333333,5,11
"41","weightloss","5","6",22,22,299,0.187,1,"ns",109.001244444444,6,7
"42","weightloss","5","7",22,22,383,0.000667,0.036685,"*",111.218355555556,6,8
"43","weightloss","5","8",22,22,423,5.9e-06,0.0003245,"***",113.435466666667,6,9
"44","weightloss","5","9",22,22,438,5.67e-07,3.1185e-05,"****",115.652577777778,6,10
"45","weightloss","5","10",22,22,437,6.72e-07,3.696e-05,"****",117.869688888889,6,11
"46","weightloss","6","7",22,22,330,0.039,1,"ns",120.0868,7,8
"47","weightloss","6","8",22,22,365,0.003,0.165,"ns",122.303911111111,7,9
"48","weightloss","6","9",22,22,390,0.00033,0.01815,"*",124.521022222222,7,10
"49","weightloss","6","10",22,22,372.5,0.002,0.11,"ns",126.738133333333,7,11
"50","weightloss","7","8",22,22,283,0.345,1,"ns",128.955244444444,8,9
"51","weightloss","7","9",22,22,296,0.211,1,"ns",131.172355555556,8,10
"52","weightloss","7","10",22,22,277,0.422,1,"ns",133.389466666667,8,11
"53","weightloss","8","9",22,22,263,0.634,1,"ns",135.606577777778,9,10
"54","weightloss","8","10",22,22,239,0.954,1,"ns",137.823688888889,9,11
"55","weightloss","9","10",22,22,234,0.862,1,"ns",140.0408,10,11
